Date,Drug,Actual,Forecasted,Error,Abs_Error_Pct,Upper,Lower,Period,MAPE_%
29/02/2016,M01AE (Ibuprofen),137.5,136.43,,,,,Train,
31/03/2016,M01AE (Ibuprofen),180.59,137.06,,,,,Train,
30/04/2016,M01AE (Ibuprofen),146.53,129.01,,,,,Train,
31/05/2016,M01AE (Ibuprofen),120.86,139.3,,,,,Train,
30/06/2016,M01AE (Ibuprofen),115,127.77,,,,,Train,
31/07/2016,M01AE (Ibuprofen),141.02,137.04,,,,,Train,
31/08/2016,M01AE (Ibuprofen),114.38,135.22,,,,,Train,
30/09/2016,M01AE (Ibuprofen),126.22,134.88,,,,,Train,
31/10/2016,M01AE (Ibuprofen),142.06,147.2,,,,,Train,
30/11/2016,M01AE (Ibuprofen),116.85,125.98,,,,,Train,
31/12/2016,M01AE (Ibuprofen),135.06,134.58,,,,,Train,
31/01/2017,M01AE (Ibuprofen),0,103.87,,,,,Train,
28/02/2017,M01AE (Ibuprofen),103.52,116.27,,,,,Train,
31/03/2017,M01AE (Ibuprofen),111.1,114.39,,,,,Train,
30/04/2017,M01AE (Ibuprofen),101.22,97.84,,,,,Train,
31/05/2017,M01AE (Ibuprofen),118.12,105.55,,,,,Train,
30/06/2017,M01AE (Ibuprofen),103.01,99.66,,,,,Train,
31/07/2017,M01AE (Ibuprofen),116.21,111.85,,,,,Train,
31/08/2017,M01AE (Ibuprofen),112.5,110.11,,,,,Train,
30/09/2017,M01AE (Ibuprofen),118.71,113.99,,,,,Train,
31/10/2017,M01AE (Ibuprofen),88.7,128.74,,,,,Train,
30/11/2017,M01AE (Ibuprofen),119.78,101.18,,,,,Train,
31/12/2017,M01AE (Ibuprofen),121.66,114.81,,,,,Train,
31/01/2018,M01AE (Ibuprofen),109.45,85.27,,,,,Train,
28/02/2018,M01AE (Ibuprofen),132.8,120.92,,,,,Train,
31/03/2018,M01AE (Ibuprofen),111.76,123.52,,,,,Train,
30/04/2018,M01AE (Ibuprofen),107.72,105.43,,,,,Train,
31/05/2018,M01AE (Ibuprofen),103.52,112.95,,,,,Train,
30/06/2018,M01AE (Ibuprofen),114.23,103.06,,,,,Train,
31/07/2018,M01AE (Ibuprofen),132.55,116.67,,,,,Train,
31/08/2018,M01AE (Ibuprofen),114.72,117.02,,,,,Train,
30/09/2018,M01AE (Ibuprofen),114.99,120.05,,,,,Train,
31/10/2018,M01AE (Ibuprofen),129.4,133.03,,,,,Train,
30/11/2018,M01AE (Ibuprofen),105.49,112.08,,,,,Train,
31/12/2018,M01AE (Ibuprofen),113.02,121.14,,,,,Train,
31/01/2019,M01AE (Ibuprofen),222.35,88.87,133.48,60,,,Test,15
28/02/2019,M01AE (Ibuprofen),142.16,120.14,22.02,15.5,,,Test,15
31/03/2019,M01AE (Ibuprofen),113.12,120.57,-7.45,6.6,,,Test,15
30/04/2019,M01AE (Ibuprofen),100.17,104.62,-4.45,4.4,,,Test,15
31/05/2019,M01AE (Ibuprofen),97.26,111.72,-14.46,14.9,,,Test,15
30/06/2019,M01AE (Ibuprofen),101.63,103.54,-1.92,1.9,,,Test,15
31/07/2019,M01AE (Ibuprofen),103.54,115.13,-11.59,11.2,,,Test,15
31/08/2019,M01AE (Ibuprofen),88.27,112.59,-24.32,27.6,,,Test,15
30/09/2019,M01AE (Ibuprofen),111.44,116.04,-4.6,4.1,,,Test,15
31/10/2019,M01AE (Ibuprofen),134.53,129.94,4.59,3.4,,,Test,15
31/01/2020,M01AE (Ibuprofen),,113.37,,,162.04,64.69,Forecast,15
29/02/2020,M01AE (Ibuprofen),,123.62,,,172.29,74.94,Forecast,15
